,name,lat,lng,aqi
0,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,13.732846,100.487662,124
1,ริมถนนทางหลวงหมายเลข 3902 ,13.636514,100.414262,177
2,กรมอุตุนิยมวิทยาบางนา,13.666183,100.605742,126
3,เคหะชุมชนคลองจั่น,13.779873,100.646009,119
4,การเคหะชุมชนห้วยขวาง ,13.77553,100.569195,121
5,โรงเรียนนนทรีวิทยา ,13.70806667,100.5473333,134
6,โรงพยาบาลจุฬาลงกรณ์,13.729852,100.536501,121
7,การไฟฟ้าย่อยธนบุรี ,13.727622,100.486568,116
8,สถานีตำรวจนครบาลโชคชัย ,13.7954248,100.5930298,124
9,การเคหะชุมชนดินแดง ,13.76251667,100.5502,111
10,กรมประชาสัมพันธ์,13.783185,100.540489,101
11,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,13.769634,100.614567,100
12,สำนักงานเขตบึงกุ่ม,13.785212,100.669183,175
13,สำนักงานเขตคลองสามวา,13.859911,100.704002,164
14,สำนักงานเขตจอมทอง,13.677757,100.483861,124
15,สำนักงานเขตบางพลัด,13.793965,100.504956,149
16,สำนักงานเขตบางแค,13.696314,100.409049,124
17,สำนักงานเขตบางขุนเทียน,13.659908,100.435902,131
18,บริเวณถนนพิษณุโลก,13.76121,100.517035,14
19,สำนักงานเขตบางคอแหลม (Mobile),13.69304,100.50244,124
20,มหาวิทยาลัยเอเชียอาคเนย์ (Mobile),13.70735,100.35391,12
21,สวนลุมพินี ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน,13.732225,100.5448381,104
22,สวนวชิรเบญจทัศ ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร,13.8118516,100.5535825,121
23,สวนจตุจักร ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร,13.802546,100.5509191,111
24,สวนหลวง ร.9 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ,13.6881393,100.6579657,114
25,สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ ถนนเคหะร่มเกล้า เขตลาดกระบัง,13.7631141,100.7302101,144
26,อุทยานเบญจสิริ,13.7304916,100.5684634,121
27,สวนรมณีย์ทุ่งสีกัน,13.9288678,100.5684666,142
28,สวนธนบุรีรมย์,13.6502295,100.4909771,126
29,สวนเบญจกิติ,13.7328791,100.5600172,116
30,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,13.8055472,100.5488338,-1
31,สวนเฉลิมพระเกียรติ 80 พรรษา,13.7716446,100.4681128,111
32,สวนเสรีไทย,13.7855673,100.6733359,142
33,สวนบางแคภิรมย์,13.6863478,100.3844036,126
34,สวนทวีวนารมย์,13.7435329,100.3526893,152
35,สวนพระนคร,13.7201042,100.7807077,129
36,สวนหนองจอก,13.855656,100.8585539,139
37,สวนกีฬารามอินทรา,13.8778763,100.6207085,129
38,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา,13.697252,100.497185,111
